행정구역명,학원명,교습계열명,도로명주소,구분,과목명,성적구분,학원규모,주말반
거제시,1st클래스(class)영어교습소,영어,경상남도 거제시 상동1길 15-11,내신,영어,중위권,대형학원,일요일반
거제시,3030연초러닝센터영어교습소,영어,경상남도 거제시 연초면 거제북로 45,내신,영어,상위권,중형학원,토요일반
거제시,3030영어교습소,영어,경상남도 거제시 아주2로 117,내신,영어,하위권,소형학원,토요일반
거제시,AA수학학원,수학,경상남도 거제시 아주1로2길 59,수능,수학,중위권,중형학원,일요일반
거제시,EiE고려대학교국제어학원영어교육프로그램아주어학원,영어,경상남도 거제시 아주로 100-11,수능,영어,상위권,중형학원,일요일반
거제시,FunnyEnglish(퍼니잉글리쉬)영어교습소,영어,경상남도 거제시 마전5길 8-1,내신,영어,상위권,대형학원,일요일반
거제시,GGE영어전문학원,영어,경상남도 거제시 수양로 440,수능,영어,중위권,대형학원,토요일반
거제시,GnB영수학원,영어/수학,경상남도 거제시 거제대로 3449,내신,"영어,수학",상위권,중형학원,토요일반
거제시,GnB영어패럴랙스수학학원,영어/수학,경상남도 거제시 장평로6길 22,내신,"영어,수학",중위권,중형학원,토요일반
거제시,H독서논술교습소,국어,경상남도 거제시 중곡로 42,내신,국어,상위권,대형학원,일요일반
거제시,ILS영어학원,영어,경상남도 거제시 거제중앙로 1854,내신,영어,중위권,대형학원,토요일반
거제시,J(제이)리틀캐나다영어학원,영어,경상남도 거제시 옥포로 282,수능,영어,중위권,대형학원,토요일반
거제시,K2(케이투)영수학원,영어/수학,경상남도 거제시 옥포중앙로 46,내신,"영어,수학",중위권,소형학원,토요일반
거제시,K2영수장승포학원,영어/수학,경상남도 거제시 능포로 115,내신,"영어,수학",중위권,대형학원,일요일반
거제시,KMS샘의 수학나라학원,수학,경상남도 거제시 옥포로27길 11-1,내신,수학,중위권,중형학원,일요일반
거제시,M&S수학교습소,수학,경상남도 거제시 수양로 440-2,내신,수학,중위권,중형학원,토요일반
거제시,M.M수학교습소,수학,경상남도 거제시 능포로2길 38,수능,수학,중위권,소형학원,일요일반
거제시,M+(엠플러스)수학전문학원,수학,경상남도 거제시 상동1길 15-11,내신,수학,중위권,중형학원,일요일반
거제시,SM최강영어교습소,영어,경상남도 거제시 해명로 52,수능,영어,상위권,중형학원,토요일반
거제시,THESEM(더셈)수학과학전문학원,수학,경상남도 거제시 옥포로 227,수능,수학,중위권,소형학원,일요일반
거제시,강의하는아이들수월캠퍼스수학학원,수학,경상남도 거제시 수양로 471,수능,수학,상위권,중형학원,토요일반
거제시,개념원리수학학원,수학,경상남도 거제시 제산로3길 14,내신,수학,하위권,중형학원,일요일반
거제시,거제상동스테이독서실,독서실,경상남도 거제시 상동7길 15,수능,독서실,중위권,중형학원,토요일반
거제시,거제옥포스테이(Stay)독서실,독서실,경상남도 거제시 옥포로 233,수능,독서실,하위권,대형학원,일요일반
거제시,거제옥포시작독서실,독서실,경상남도 거제시 옥포대첩로7길 43,수능,독서실,중위권,소형학원,토요일반
거제시,고려수학교습소,수학,경상남도 거제시 문동1길 42,내신,수학,하위권,중형학원,토요일반
거제시,곰수학영어학원,영어/수학,경상남도 거제시 진목1길 85,내신,"영어,수학",상위권,중형학원,토요일반
거제시,공감국어수학학원,수학,경상남도 거제시 수양로 440-3,내신,수학,하위권,중형학원,일요일반
